	variable_codebook	prompt	targets_value	targets	non_targets
402	ER336f	6. Length of race	1	22 miles • slightly shorter than normal marathon • shorter than marathon • shorter than normal marathon • slightly shorter than marathon	0 alle anderen Antworten
403	ER336g	7. Type of ground (Name one)	1	rough terrain  • marsh • mountain • bog • steep hill • hill	0 alle anderen Antworten
404	ER336h	8. Number of years it took a man to win	1	25 • 25 years	0 alle anderen Antworten
405	ER336i	9. Another unusual event besides the marathon	1	Bog Snorkelling Championships	0 alle anderen Antworten
406	ER336j	10. Registration price per runner	1	£18	0 alle anderen Antworten 
407	ER577a	1. With her petition, Eva fights for her son to get no homework.	1	true Das 1. Kästchen wurde angekreuzt.	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt
408	ER577b	2. To do his homework Eva's son Emilio takes more than two hours a day.	1	true Das 1. Kästchen wurde angekreuzt.	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt
409	ER577c	3. Emilio is good at most school subjects.	3	not in the text Das 3. Kästchen wurde angekreuzt.	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt
410	ER577d	4. Eva's other children need less time than Emilio for their homework.	1	true Das 1. Kästchen wurde angekreuzt.	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt
411	ER577e	5. Alfonso Gonzales is divorced.	3	not in the text Das 3. Kästchen wurde angekreuzt.	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt
412	ER577f	6. Alfonso supports Eva's petition.	1	true Das 1. Kästchen wurde angekreuzt.	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt
413	ER577g	7. Alfonso thinks that children should get no homework.	2	false Das 2. Kästchen wurde angekreuzt.	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt
414	ER577h	8. Alfonso's daughter is too young to go to school.	2	false Das 2. Kästchen wurde angekreuzt.	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt
415	ER577i	9. To do their homework, most teenagers in Spain take less time than Emilio.	2	false Das 2. Kästchen wurde angekreuzt.	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt
416	ER577j	10. Emilio's teachers are annoyed about Eva's petition.	3	not in the text Das 3. Kästchen wurde angekreuzt.	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
417	ER578a	"1. ""There are teens (and adults, too) who don't care about the president, the government or our laws. Those of us who do care are better off waiting to reach age 18, so that we can be more infromed about what and who we're voting for. Teens often claim that we know a lot, and while this may be true, we need time to mature."" - Frank, 15"	07	G/g	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 08 H/h
418	ER578b		02	B/b	01 A/a 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g 08 H/h
419	ER578c		03	C/c	01 A/a 02 B/b 04 D/d 05 E/e 06 F/f 07 G/g 08 H/h
420	ER578d		05	E/e	01 A/a 02 B/b 03 C/c 04 D/d 06 F/f 07 G/g 08 H/h
421	ER578e		01	A/a	02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g 08 H/h 
422	ERe001a		4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
423	ERe002a	1. What is bullying?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
424	ERe002b	2. Cyberbullying ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
425	ERe003a	1. Troy's age	1	14 • 14 years old	0 alle anderen Antworten
426	ERe003b	2. Name of the computer game	1	Fight the rabbit	0 alle anderen Antworten
427	ERe003c	3. Names of Troy's rabbits	1	Blacky and Whitey	0 alle anderen Antworten
428	ERe003d	4. Troy's favourite hobby	1	computer games  • play computer	0 alle anderen Antworten 
429	ERe004a	1. Superheroes are ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
430	ERe004b	2. Many people like stories about ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
431	ERe005a	1. When did Lucy finish her apprenticeship?	1	last month	0 alle anderen Antworten
432	ERe005b	2. Where is the beatuy school?	1	London • in London	0 alle anderen Antworten
433	ERe005c	3. What can she get at the beauty school?	1	a High School diploma • High School diploma • a diploma • diploma	0 alle anderen Antworten
434	ERe005d	4. Why does she want to work on a cruise ship?	1	(to get to) (know) (more) international styles	0 alle anderen Antworten 
435	ERe006a	1. Where do students come from?	1	from many different countries • different countries • many different countries • many different countries	0 alle anderen Antworten
436	ERe006b	2. What can students do in the afternoon?	1	sports • music • have fun	0 alle anderen Antworten
437	ERe006c	3. What is the highest number of students per group?	1	12	0 alle anderen Antworten
438	ERe006d	4. How long are the courses?	1	2 or 4 weeks	0 alle anderen Antworten
439	ERe006e	5. How much is the longest course?	1	750 • 750 £	0 alle anderen Antworten
440	ERe006f	6. Until when do you have to book the course?	1	1st of June	0 alle anderen Antworten 
441	ERe007a	1. On Monday the library is open...	06	f/F	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 07 g/G 08 h/H 09 i/I 10 j/J
442	ERe007b	2. If you want to borrow a book...	09	i/I	01 a/A 02 b/B 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 10 j/J
443	ERe007c	3. You must read or talk...	05	e/E	01 a/A 02 b/B 03 c/C 04 d/D 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
444	ERe007d	4. It is not allowed to...	02	b/B	01 a/A 03 c/C 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
445	ERe007e	5. You have to switch off ...	03	c/C	01 a/A 02 b/B 04 d/D 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J
446	ERe007f	6. It is possible to borrow ...	04	d/D	01 a/A 02 b/B 03 c/C 05 e/E 06 f/F 07 g/G 08 h/H 09 i/I 10 j/J 
447	ERe008a	She is ...	1	6	0 alle anderen Antworten
448	ERe008b	She was lost on ...	1	Tuesday • 10th of June	0 alle anderen Antworten • 7pm
449	ERe008c	She likes to eat ...	1	fish	0 alle anderen Antworten
450	ERe008d	When you find the cat, you should call ...	1	Linda • Trueman •  012 5438 9237	0 alle anderen Antworten 
451	ERe009a	1. Karen lives in ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
452	ERe009b	2. Karen has a dog because the house has ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
453	ERe009c	3. The name of Karen's dog is ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
454	ERe009d	4. Karen's dog is ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
455	ERe009e	5. Karen's dog is ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
456	ERe009f	6. Karen feeds her dog ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
457	ERe010a	1. People call him …	01	A/a	02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g 08 H/h 09 I/i
458	ERe010b	2. With 2,13 meters …	04	D/d	01 A/a 02 B/b 03 C/c 05 E/e 06 F/f 07 G/g 08 H/h 09 I/i
459	ERe010c	3. He always was very good at…	06	F/f	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 07 G/g 08 H/h 09 I/i
460	ERe010d	4. At the age of 20…	02	B/b	01 A/a 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g 08 H/h 09 I/i 
461	ERe011a	1.	01	A/a	02 B/b 03 C/c 04 D/d 05 E/e 06 F/f
462	ERe011b	2.	05	E/e	01 A/a 02 B/b 03 C/c 04 D/d 06 F/f
463	ERe011c	3.	06	F/f	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e
464	ERe011d	4.	02	B/b	01 A/a 03 C/c 04 D/d 05 E/e 06 F/f 
465	ERe012a	Today Amy is ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
466	ERe012b	yesterday	1	A/a	2 B/b 3 C/c 4 D/d 5 E/e
467	ERe012c	tomorrow	2	B/b	1 A/a 3 C/c 4 D/d 5 E/e 
468	ERe013a	The pancakes ...	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
469	ERe014a	1. Sam is Jenny´s boyfriend.	1	True	2 False 3 Not given
470	ERe014b	2. Sam and Jenny live in the same town.	2	False	1 True 3 Not given
471	ERe014c	3. Sam likes dogs.	3	Not given	1 True 2 False
472	ERe014d	4. Jenny has a small nose.	1	True	2 False 3 Not given
473	ERe014e	5. Jenny has a big mouth.	3	Not given	1 True 2 False
474	ERe014f	6. Jenny loves football.	2	False	1 True 3 Not given
475	ERe014g	7. Sam does not know what he should do.	1	True	2 False 3 Not given 
476	ERe015a	1. Jane doesn´t eat meat or fish. As a meal, Jane eats ….	1	vegetable curry • curry • curry with rice • vegetable curry with rice • cheese and tomato pizza with salad • pizza • pizza with salad • cheese and tomato pizza	0 alle anderen Antworten • rice
477	ERe015b	2. Jane´s mum loves noodles. She eats …	1	meatballs / spaghetti (and tomato sauce)	0 alle anderen Antworten
478	ERe015c	3. Jane has £ 1 left for a drink. She drinks ...	1	water	0 alle anderen Antworten
479	ERe015d	4. Jane´s mum wants to drink a juice. Jane´s mum drinks …	1	orange juice	0 alle anderen Antworten
480	ERe015e	5. Jane and her mum want to have the cheapest dessert. They buy...	1	chocolate cake • cake	0 alle anderen Antworten 
481	ERe017a	1. From the hotel you can look at...	1	beautiful beaches • beach • beaches • beautiful beach	0 alle anderen Antworten
482	ERe017b	2. Terrace Hotel is near...	1	city • centre • beaches • beach	0 alle anderen Antworten
483	ERe017c	3. All the high-quaility rooms have...	1	internet • free internet • flat screen TVs • flat screen TV • TV • TVs	0 alle anderen Antworten
484	ERe017d	4. You can relax in...	1	their modern fitness club with a heated indoor pool • fitness club with a heated indoor pool • fitness club • their modern fitness club	0 alle anderen Antworten
485	ERe017e	5. Terrace Hotel helps to organise...	1	your wedding • your weddings • wedding • weddings • a dream wedding	0 alle anderen Antworten 
486	ERe018a	1. One of the wold's top-earning athletes is a ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
487	ERe018b	2. The name of this top-earning athlete is ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
488	ERe018c	3. The athlete played for ... in the NBA.	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
489	ERe018d	4. With Gatorade, Hanes and Nike the athlete has ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
490	ERe019a	1.	03	C/c	01 A/a 02 B/b 04 D/d 05 E/e 06 F/f
491	ERe019b	2.	01	A/a	02 B/b 03 C/c 04 D/d 05 E/e 06 F/f
492	ERe019c	3.	05	E/e	01 A/a 02 B/b 03 C/c 04 D/d 06 F/f
493	ERe019d	4.	04	D/d	01 A/a 02 B/b 03 C/c 05 E/e 06 F/f 
494	ERe020a	1. When did Simon take singing lessons?	1	in summer • summer • last summer	0 alle anderen Antworten
495	ERe020b	2. Where did Simon take singing lessons?	1	London • in London	0 alle anderen Antworten
496	ERe020c	3. Where does Simon sing now?	1	• school band • in his school band • in the school band • in our school band	0 alle anderen Antworten
497	ERe020d	4. What will be in February?	1	casting show • a BBC casting show • the BBC casting show • BBC casting show • a casting show • the casting show	0 alle anderen Antworten 
498	ERe021a	"1. ""Tidy up: Drinks, scissors, exercise books, your bread - everything is on your table!"""	04	D/d	01 A/a 02 B/b 03 C/c 05 E/e 06 F/f 07 G/g
499	ERe021b	"2. ""Don't talk to your neighbours."""	03	C/c	01 A/a 02 B/b 04 D/d 05 E/e 06 F/f 07 G/g
500	ERe021c	"3. ""Oh please! Don't eat now! Put away your drink and your apple."""	06	F/f	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 07 G/g
501	ERe021d	"4. ""It's nine o'clock now. You are too late!"""	01	A/a	02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g
502	ERe021e	"5. ""You had to prepare maths for this lesson! Where is it?"""	07	G/g	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 
503	ERe022a	1. Patrick’s postcard is ...	05	E/e	01 A/a 02 B/b 03 C/c 04 D/d 06 F/f 07 G/g 08 H/h 09 I/i
504	ERe022b	2. Patrick’s hotel is ...	07	G/g	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 08 H/h 09 I/i
505	ERe022c	3. The weather in Paris ...	04	D/d	01 A/a 02 B/b 03 C/c 05 E/e 06 F/f 07 G/g 08 H/h 09 I/i
506	ERe022d	4. Patrick loves ...	06	F/f	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 07 G/g 08 H/h 09 I/i
507	ERe022e	5. He does not like ...	08	H/h	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g 09 I/i
508	ERe022f	6. Patrick will be home ...	09	I/i	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g 08 H/h 
509	ERe023a	1. Who is the invitation for?	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
510	ERe023b	2. When is the birthday party?	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
511	ERe023c	3. When does the party start?	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
512	ERe023d	4. Where does Gillian live?	4	nur das 4. Kästchen wurde angekreuzt: d)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
513	ERe023e	5. Who is going to take all the guests home?	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 4 4. Kästchen angekreuzt 
514	ERe024a	1. What is in the fridge?	1	Tom's lunch • lunch	0 alle anderen Antworten
515	ERe024b	2. What does Granny need help with?	1	shopping	0 alle anderen Antworten
516	ERe024c	3. Who needs some fresh water?	1	Blacky	0 alle anderen Antworten
517	ERe024d	4. When will Mum be home?	1	at 9 pm • 21 h • at 9 • 9 pm • 9  • at 21 h	0 alle anderen Antworten 
518	ERe025a	1. The name of Megan’s mum is ... .	1	Susan • Susan Miller	0 alle anderen Antworten • Ms Miller
519	ERe025b	2. Adam Miller works as a ... .	1	policeman	0 alle anderen Antworten
520	ERe025c	3. Megan is ... years old.	1	15	0 alle anderen Antworten
521	ERe025d	4. Megan’s pet is a ... .	1	cat • Pinky	0 alle anderen Antworten
522	ERe025e	5. The youngest children are ... and Anthony.	1	Charly	0 alle anderen Antworten
523	ERe025f	6. The oldest child in the family is ... .	1	Megan	0 alle anderen Antworten 
524	ERe026a	1. bread	05	E/e	01 A/a 02 B/b 03 C/c 04 D/d 06 F/f 07 G/g 08 H/h 09 I/i
525	ERe026b	2. eggs	07	G/g	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 08 H/h 09 I/i
526	ERe026c	3. cheese	09	I/i	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g 08 H/h
527	ERe026d	4. lemonade	06	F/f	01 A/a 02 B/b 03 C/c 04 D/d 05 E/e 07 G/g 08 H/h 09 I/i
528	ERe026e	5. fish	04	D/d	01 A/a 02 B/b 03 C/c 05 E/e 06 F/f 07 G/g 08 H/h 09 I/i
529	ERe026f	6. apple juice	01	A/a	02 B/b 03 C/c 04 D/d 05 E/e 06 F/f 07 G/g 08 H/h 09 I/i 
530	ERe027a	1. What is the student’s name?	1	Olivia • Smith	0 alle anderen Antworten
531	ERe027b	2. When is the girl born?	1	20 February  •  in February •  February •  in February 2005 • 20 February 2005 • 2005 • February 2005	0 alle anderen Antworten
532	ERe027c	3. Who is Mr. Brown?	1	teacher • Olivia's class teacher	0 alle anderen Antworten
533	ERe027d	4. Where does the girl live?	1	at 8 Park Road Birmingham • at 8 Park Road • Park Road • Birmingham	0 alle anderen Antworten 
534	ERe028aa	1. Julia will prepare the Maths homework.	1	True	2 False
535	ERe028ab	2. Oliver will look for information for German.	2	False	1 True
536	ERe028ba	3. Julia asks for eating and drinking.	1	True	2 False
537	ERe028bb	4. Oliver offers the sandwiches.	1	True	2 False
538	ERe028ca	5. Julia will buy a tiramisu.	2	False	1 True
539	ERe028cb	6. They meet at Oliver's at six o'clock.	1	True	2 False 
540	ERe029a	1. Grandpa is working in the ...	1	nur das 1. Kästchen wurde angekreuzt: a)	2 2. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
541	ERe029b	2. The black cat is sitting on the ...	3	nur das 3. Kästchen wurde angekreuzt: c)	1 1. Kästchen angekreuzt 2 2. Kästchen angekreuzt 
542	ERe029c	3. Mum is standing in the ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
543	ERe029d	4. The dog is lying in the ...	2	nur das 2. Kästchen wurde angekreuzt: b)	1 1. Kästchen angekreuzt 3 3. Kästchen angekreuzt 
